shipment_id,vehicle_id,distance_km,fuel_efficiency_kmpl,fuel_consumption_l,co2_emission_kg,carbon_intensity,estimated_delivery,eta_status,sustainability_score,green_shipment,sustainability_category
SHP001870,VEH003,1349.43,8,168.68,452.06,0.335,2025-04-07 00:48,On Time,50,No,Poor
SHP001871,VEH003,460.49,8,57.56,154.26,0.335,2025-05-18 00:48,On Time,70,Yes,Average
SHP001872,VEH008,1029.69,8,128.71,344.94,0.335,2025-10-18 00:48,On Time,50,No,Poor
SHP001873,VEH003,726.3,8,90.79,243.32,0.335,2025-04-15 09:00,In Transit,50,No,Poor
SHP001874,VEH018,1237.54,12,103.13,276.39,0.223,2025-03-21 03:00,On Time,50,No,Poor
SHP001875,VEH023,815.68,12,67.97,182.16,0.223,2025-07-31 15:00,Long Distance,50,No,Poor
SHP001876,VEH014,111.11,12,9.26,24.82,0.223,2025-07-31 00:40,On Time,100,Yes,Excellent
SHP001877,VEH018,247.79,12,20.65,55.34,0.223,2025-05-13 00:40,On Time,100,Yes,Excellent
SHP001878,VEH008,1181.58,8,147.7,395.84,0.335,2025-05-05 00:48,On Time,50,No,Poor
SHP001879,VEH003,1056.81,8,132.1,354.03,0.335,2025-05-06 03:36,On Time,50,No,Poor
SHP001880,VEH018,829.01,12,69.08,185.13,0.223,2025-08-13 03:00,On Time,50,No,Poor
SHP001881,VEH008,589.11,8,73.64,197.36,0.335,2025-03-23 03:36,On Time,50,No,Poor
SHP001882,VEH029,909.68,12,75.81,203.17,0.223,2025-05-23 15:00,Long Distance,50,No,Poor
SHP001883,VEH008,943.06,8,117.88,315.92,0.335,2025-01-22 18:00,Long Distance,50,No,Poor
SHP001884,VEH018,1006.24,12,83.85,224.72,0.223,2025-02-12 03:00,On Time,50,No,Poor
SHP001885,VEH014,1422.7,12,118.56,317.74,0.223,2025-07-29 03:00,On Time,50,No,Poor
SHP001886,VEH018,1108.54,12,92.38,247.58,0.223,2025-02-18 03:00,On Time,50,No,Poor
SHP001887,VEH008,594.95,8,74.37,199.31,0.335,2025-02-27 03:36,On Time,50,No,Poor
SHP001888,VEH003,1362.94,8,170.37,456.59,0.335,2025-09-25 18:00,Long Distance,50,No,Poor
SHP001889,VEH003,863.18,8,107.9,289.17,0.335,2025-09-14 03:36,On Time,50,No,Poor
SHP001890,VEH008,878.78,8,109.85,294.4,0.335,2025-06-10 18:00,Long Distance,50,No,Poor
SHP001891,VEH023,896.68,12,74.72,200.25,0.223,2025-05-02 00:40,On Time,50,No,Poor
SHP001892,VEH003,441.2,8,55.15,147.8,0.335,2025-03-31 09:00,In Transit,70,Yes,Average
SHP001893,VEH036,1073.96,8,134.24,359.76,0.335,2025-05-11 00:48,On Time,50,No,Poor
SHP001894,VEH018,2474.2,12,206.18,552.56,0.223,2025-07-13 15:00,Long Distance,50,No,Poor
SHP001895,VEH036,1137.84,8,142.23,381.18,0.335,2025-08-07 03:36,On Time,50,No,Poor
SHP001896,VEH008,1313.38,8,164.17,439.98,0.335,2025-03-17 00:48,On Time,50,No,Poor
SHP001897,VEH023,2168.58,12,180.72,484.33,0.223,2025-06-08 15:00,Long Distance,50,No,Poor
SHP001898,VEH034,800.22,12,66.68,178.7,0.223,2025-12-06 00:40,On Time,70,Yes,Average
SHP001899,VEH008,803.07,8,100.38,269.02,0.335,2025-05-10 03:36,On Time,50,No,Poor
SHP001900,VEH014,1369.11,12,114.09,305.76,0.223,2025-12-19 01:00,Long Distance,50,No,Poor
SHP001901,VEH023,261.76,12,21.81,58.45,0.223,2025-07-19 00:40,On Time,100,Yes,Excellent
SHP001902,VEH023,767.04,12,63.92,171.31,0.223,2025-02-16 00:40,On Time,70,Yes,Average
SHP001903,VEH018,825.94,12,68.83,184.46,0.223,2025-08-15 07:30,In Transit,50,No,Poor
SHP001904,VEH003,1690.46,8,211.31,566.31,0.335,2025-01-18 03:36,On Time,50,No,Poor
SHP001905,VEH014,1355.84,12,112.99,302.81,0.223,2025-08-01 03:00,On Time,50,No,Poor
SHP001906,VEH014,257.94,12,21.5,57.62,0.223,2025-03-26 07:30,In Transit,100,Yes,Excellent
SHP001907,VEH036,1733.4,8,216.68,580.7,0.335,2025-06-30 03:36,On Time,50,No,Poor
SHP001908,VEH023,1302.85,12,108.57,290.97,0.223,2025-06-18 03:00,On Time,50,No,Poor
SHP001909,VEH008,1183.98,8,148.0,396.64,0.335,2025-11-25 09:00,In Transit,50,No,Poor
SHP001910,VEH008,751.12,8,93.89,251.63,0.335,2025-11-25 00:48,On Time,50,No,Poor
SHP001911,VEH029,726.12,12,60.51,162.17,0.223,2025-11-18 03:00,On Time,70,Yes,Average
SHP001912,VEH029,1463.22,12,121.94,326.8,0.223,2025-02-26 07:30,In Transit,50,No,Poor
SHP001913,VEH023,593.51,12,49.46,132.55,0.223,2025-03-10 00:40,On Time,70,Yes,Average
SHP001914,VEH008,521.81,8,65.23,174.82,0.335,2025-08-21 18:00,Long Distance,70,Yes,Average
SHP001915,VEH018,846.48,12,70.54,189.05,0.223,2025-03-31 00:40,On Time,50,No,Poor
SHP001916,VEH018,1326.46,12,110.54,296.25,0.223,2025-04-14 07:30,In Transit,50,No,Poor
SHP001917,VEH003,406.1,8,50.76,136.04,0.335,2025-07-22 18:00,Long Distance,70,Yes,Average
SHP001918,VEH018,866.56,12,72.21,193.52,0.223,2025-01-12 07:30,In Transit,50,No,Poor
SHP001919,VEH029,1285.52,12,107.13,287.11,0.223,2025-04-29 03:00,On Time,50,No,Poor
SHP001920,VEH014,1901.41,12,158.45,424.65,0.223,2025-12-26 00:40,On Time,50,No,Poor
SHP001921,VEH018,427.18,12,35.6,95.41,0.223,2025-08-09 03:00,On Time,85,Yes,Good
SHP001922,VEH036,1251.89,8,156.49,419.39,0.335,2025-07-09 09:00,In Transit,50,No,Poor
SHP001923,VEH014,2106.41,12,175.53,470.42,0.223,2025-09-28 07:30,In Transit,50,No,Poor
SHP001924,VEH003,1232.27,8,154.03,412.8,0.335,2025-03-02 18:00,Long Distance,50,No,Poor
SHP001925,VEH014,1361.13,12,113.43,303.99,0.223,2025-05-17 00:40,On Time,50,No,Poor
SHP001926,VEH029,704.09,12,58.67,157.24,0.223,2025-03-09 03:00,On Time,70,Yes,Average
SHP001927,VEH034,530.23,12,44.19,118.43,0.223,2025-05-27 03:00,On Time,70,Yes,Average
SHP001928,VEH003,1297.44,8,162.18,434.64,0.335,2025-04-03 00:48,On Time,50,No,Poor
SHP001929,VEH034,2396.36,12,199.7,535.2,0.223,2025-05-17 01:00,Long Distance,50,No,Poor
SHP001930,VEH003,495.66,8,61.96,166.05,0.335,2025-07-09 03:36,On Time,70,Yes,Average
SHP001931,VEH003,495.88,8,61.98,166.11,0.335,2025-02-13 18:00,Long Distance,70,Yes,Average
SHP001932,VEH003,988.4,8,123.55,331.11,0.335,2025-12-22 03:36,On Time,50,No,Poor
SHP001933,VEH003,1313.31,8,164.16,439.95,0.335,2025-12-31 00:48,On Time,50,No,Poor
SHP001934,VEH029,883.65,12,73.64,197.36,0.223,2025-02-09 03:00,On Time,50,No,Poor
SHP001935,VEH014,1881.78,12,156.82,420.28,0.223,2025-06-22 03:00,On Time,50,No,Poor
SHP001936,VEH036,1019.18,8,127.4,341.43,0.335,2025-01-03 00:48,On Time,50,No,Poor
SHP001937,VEH036,1864.95,8,233.12,624.76,0.335,2025-06-04 18:00,Long Distance,50,No,Poor
SHP001938,VEH036,1235.99,8,154.5,414.06,0.335,2025-10-16 03:36,On Time,50,No,Poor
SHP001939,VEH003,664.38,8,83.05,222.57,0.335,2025-03-28 00:48,On Time,50,No,Poor
SHP001940,VEH008,777.78,8,97.22,260.55,0.335,2025-03-09 03:36,On Time,50,No,Poor
SHP001941,VEH018,1452.69,12,121.06,324.44,0.223,2025-08-10 00:40,On Time,50,No,Poor
SHP001942,VEH023,1327.29,12,110.61,296.43,0.223,2025-01-25 03:00,On Time,50,No,Poor
SHP001943,VEH023,1218.25,12,101.52,272.07,0.223,2025-07-04 00:40,On Time,50,No,Poor
SHP001944,VEH008,1326.76,8,165.84,444.45,0.335,2025-05-17 00:48,On Time,50,No,Poor
SHP001945,VEH008,909.94,8,113.74,304.82,0.335,2025-06-12 09:00,In Transit,50,No,Poor
SHP001946,VEH008,630.29,8,78.79,211.16,0.335,2025-12-03 00:48,On Time,50,No,Poor
SHP001947,VEH003,938.05,8,117.26,314.26,0.335,2025-03-20 00:48,On Time,50,No,Poor
SHP001948,VEH023,1327.73,12,110.64,296.52,0.223,2025-08-30 00:40,On Time,50,No,Poor
SHP001949,VEH003,1326.57,8,165.82,444.4,0.335,2025-08-12 09:00,In Transit,50,No,Poor
SHP001950,VEH036,876.66,8,109.58,293.67,0.335,2025-07-04 03:36,On Time,50,No,Poor
SHP001951,VEH034,989.99,12,82.5,221.1,0.223,2025-09-10 00:40,On Time,50,No,Poor
SHP001952,VEH036,1687.96,8,211.0,565.48,0.335,2025-06-28 03:36,On Time,50,No,Poor
SHP001953,VEH008,898.39,8,112.3,300.96,0.335,2025-03-30 03:36,On Time,50,No,Poor
SHP001954,VEH023,954.09,12,79.51,213.09,0.223,2025-04-21 03:00,On Time,50,No,Poor
SHP001955,VEH018,1337.16,12,111.43,298.63,0.223,2025-08-03 15:00,Long Distance,50,No,Poor
SHP001956,VEH008,1934.45,8,241.81,648.05,0.335,2025-02-19 09:00,In Transit,50,No,Poor
SHP001957,VEH023,2274.3,12,189.52,507.91,0.223,2025-12-15 00:40,On Time,50,No,Poor
SHP001958,VEH014,746.6,12,62.22,166.75,0.223,2025-02-26 07:30,In Transit,70,Yes,Average
SHP001959,VEH036,1790.71,8,223.84,599.89,0.335,2025-08-26 03:36,On Time,50,No,Poor
SHP001960,VEH008,828.06,8,103.51,277.41,0.335,2025-11-18 18:00,Long Distance,50,No,Poor
SHP001961,VEH014,934.46,12,77.87,208.69,0.223,2025-06-20 07:30,In Transit,50,No,Poor
SHP001962,VEH034,588.63,12,49.05,131.45,0.223,2025-06-16 00:40,On Time,70,Yes,Average
SHP001963,VEH003,1768.38,8,221.05,592.41,0.335,2025-04-20 03:36,On Time,50,No,Poor
SHP001964,VEH023,1945.92,12,162.16,434.59,0.223,2025-01-31 07:30,In Transit,50,No,Poor
SHP001965,VEH003,2642.49,8,330.31,885.23,0.335,2025-02-17 03:36,On Time,50,No,Poor
SHP001966,VEH003,1095.05,8,136.88,366.84,0.335,2025-07-26 09:00,In Transit,50,No,Poor
SHP001967,VEH003,1190.33,8,148.79,398.76,0.335,2025-07-20 18:00,Long Distance,50,No,Poor
SHP001968,VEH003,1243.86,8,155.48,416.69,0.335,2025-03-04 03:36,On Time,50,No,Poor
SHP001969,VEH008,650.05,8,81.26,217.78,0.335,2025-06-08 09:00,In Transit,50,No,Poor
SHP001970,VEH014,1104.01,12,92.0,246.56,0.223,2025-12-09 03:00,On Time,50,No,Poor
SHP001971,VEH014,349.98,12,29.17,78.18,0.223,2025-09-10 03:00,On Time,85,Yes,Good
SHP001972,VEH018,1310.99,12,109.25,292.79,0.223,2025-10-18 03:00,On Time,50,No,Poor
SHP001973,VEH023,1828.43,12,152.37,408.35,0.223,2025-08-05 07:30,In Transit,50,No,Poor
SHP001974,VEH003,1309.25,8,163.66,438.61,0.335,2025-11-19 03:36,On Time,50,No,Poor
SHP001975,VEH023,1639.74,12,136.65,366.22,0.223,2025-06-26 00:40,On Time,50,No,Poor
SHP001976,VEH034,416.46,12,34.7,93.0,0.223,2025-12-18 00:40,On Time,85,Yes,Good
SHP001977,VEH029,696.08,12,58.01,155.47,0.223,2025-11-20 00:40,On Time,70,Yes,Average
SHP001978,VEH029,560.61,12,46.72,125.21,0.223,2025-08-30 00:40,On Time,70,Yes,Average
SHP001979,VEH014,1138.97,12,94.91,254.36,0.223,2025-03-20 00:40,On Time,50,No,Poor
SHP001980,VEH008,1431.96,8,179.0,479.72,0.335,2025-09-26 18:00,Long Distance,50,No,Poor
SHP001981,VEH036,307.37,8,38.42,102.97,0.335,2025-10-11 00:48,On Time,70,Yes,Average
SHP001982,VEH029,493.01,12,41.08,110.09,0.223,2025-09-19 03:00,On Time,70,Yes,Average
SHP001983,VEH036,1512.77,8,189.1,506.79,0.335,2025-12-06 00:48,On Time,50,No,Poor
SHP001984,VEH008,1061.24,8,132.66,355.53,0.335,2025-05-11 18:00,Long Distance,50,No,Poor
SHP001985,VEH029,742.21,12,61.85,165.76,0.223,2025-02-28 15:00,Long Distance,70,Yes,Average
SHP001986,VEH003,1051.48,8,131.44,352.26,0.335,2025-04-05 03:36,On Time,50,No,Poor
SHP001987,VEH014,2045.17,12,170.43,456.75,0.223,2025-12-27 15:00,Long Distance,50,No,Poor
SHP001988,VEH003,603.61,8,75.45,202.21,0.335,2025-12-11 03:36,On Time,50,No,Poor
SHP001989,VEH029,834.9,12,69.58,186.47,0.223,2025-04-07 07:30,In Transit,50,No,Poor
SHP001990,VEH014,2149.57,12,179.13,480.07,0.223,2025-12-12 03:00,On Time,50,No,Poor
SHP001991,VEH036,840.47,8,105.06,281.56,0.335,2025-01-04 03:36,On Time,50,No,Poor
SHP001992,VEH018,890.41,12,74.2,198.86,0.223,2025-12-04 00:40,On Time,50,No,Poor
SHP001993,VEH036,413.84,8,51.73,138.64,0.335,2025-12-03 03:36,On Time,70,Yes,Average
SHP001994,VEH036,1568.55,8,196.07,525.47,0.335,2025-11-13 00:48,On Time,50,No,Poor
SHP001995,VEH023,1200.73,12,100.06,268.16,0.223,2025-06-05 15:00,Long Distance,50,No,Poor
SHP001996,VEH008,943.42,8,117.93,316.05,0.335,2025-04-09 00:48,On Time,50,No,Poor
SHP001997,VEH023,865.02,12,72.08,193.17,0.223,2025-01-14 00:40,On Time,50,No,Poor
SHP001998,VEH014,111.11,12,9.26,24.82,0.223,2025-11-30 00:40,On Time,100,Yes,Excellent
SHP001999,VEH029,1971.17,12,164.26,440.22,0.223,2025-10-04 03:00,On Time,50,No,Poor
SHP002000,VEH008,863.24,8,107.9,289.17,0.335,2025-03-19 03:36,On Time,50,No,Poor
SHP002001,VEH029,264.71,12,22.06,59.12,0.223,2025-03-29 00:40,On Time,100,Yes,Excellent
SHP002002,VEH008,279.22,8,34.9,93.53,0.335,2025-09-07 00:48,On Time,85,Yes,Good
SHP002003,VEH008,539.0,8,67.38,180.58,0.335,2025-05-07 03:36,On Time,50,No,Poor
SHP002004,VEH023,1105.7,12,92.14,246.94,0.223,2025-01-29 00:40,On Time,50,No,Poor
SHP002005,VEH034,911.72,12,75.98,203.63,0.223,2025-08-11 00:40,On Time,50,No,Poor
SHP002006,VEH018,255.51,12,21.29,57.06,0.223,2025-11-04 03:00,On Time,100,Yes,Excellent
SHP002007,VEH029,740.58,12,61.72,165.41,0.223,2025-09-07 03:00,On Time,70,Yes,Average
SHP002008,VEH008,922.72,8,115.34,309.11,0.335,2025-11-10 00:48,On Time,50,No,Poor
SHP002009,VEH014,781.59,12,65.13,174.55,0.223,2025-02-01 15:00,Long Distance,70,Yes,Average
SHP002010,VEH023,2380.72,12,198.39,531.69,0.223,2025-06-12 00:40,On Time,50,No,Poor
SHP002011,VEH023,1181.6,12,98.47,263.9,0.223,2025-08-04 00:40,On Time,50,No,Poor
SHP002012,VEH018,734.3,12,61.19,163.99,0.223,2025-08-19 03:00,On Time,70,Yes,Average
SHP002013,VEH029,647.17,12,53.93,144.53,0.223,2025-05-29 03:00,On Time,70,Yes,Average
SHP002014,VEH036,1152.18,8,144.02,385.97,0.335,2025-08-13 09:00,In Transit,50,No,Poor
SHP002015,VEH023,556.65,12,46.39,124.33,0.223,2025-12-18 07:30,In Transit,70,Yes,Average
SHP002016,VEH036,1221.07,8,152.63,409.05,0.335,2025-08-30 09:00,In Transit,50,No,Poor
SHP002017,VEH018,1076.63,12,89.72,240.45,0.223,2025-07-19 03:00,On Time,50,No,Poor
SHP002018,VEH036,1758.38,8,219.8,589.06,0.335,2025-08-31 09:00,In Transit,50,No,Poor
SHP002019,VEH023,510.49,12,42.54,114.01,0.223,2025-12-21 03:00,On Time,70,Yes,Average
SHP002020,VEH014,2032.39,12,169.37,453.91,0.223,2025-03-31 03:00,On Time,50,No,Poor
SHP002021,VEH034,1593.75,12,132.81,355.93,0.223,2025-02-22 15:00,Long Distance,50,No,Poor
SHP002022,VEH029,426.95,12,35.58,95.35,0.223,2025-04-18 07:30,In Transit,85,Yes,Good
SHP002023,VEH014,1335.77,12,111.31,298.31,0.223,2025-05-14 15:00,Long Distance,50,No,Poor
SHP002024,VEH008,728.84,8,91.1,244.15,0.335,2025-09-17 03:36,On Time,50,No,Poor
SHP002025,VEH014,305.01,12,25.42,68.13,0.223,2025-02-28 03:00,On Time,85,Yes,Good
SHP002026,VEH029,988.84,12,82.4,220.83,0.223,2025-04-25 03:00,On Time,50,No,Poor
SHP002027,VEH003,1765.6,8,220.7,591.48,0.335,2025-01-25 18:00,Long Distance,50,No,Poor
SHP002028,VEH036,241.77,8,30.22,80.99,0.335,2025-12-21 00:48,On Time,85,Yes,Good
SHP002029,VEH014,992.97,12,82.75,221.77,0.223,2025-12-28 00:40,On Time,50,No,Poor
SHP002030,VEH003,1073.45,8,134.18,359.6,0.335,2025-02-25 18:00,Long Distance,50,No,Poor
SHP002031,VEH014,1690.96,12,140.91,377.64,0.223,2025-01-23 00:40,On Time,50,No,Poor
SHP002032,VEH008,753.11,8,94.14,252.3,0.335,2025-04-17 00:48,On Time,50,No,Poor
SHP002033,VEH008,1161.35,8,145.17,389.06,0.335,2025-12-30 00:48,On Time,50,No,Poor
SHP002034,VEH003,402.08,8,50.26,134.7,0.335,2025-02-21 09:00,In Transit,70,Yes,Average
SHP002035,VEH003,678.12,8,84.76,227.16,0.335,2025-03-13 18:00,Long Distance,50,No,Poor
SHP002036,VEH003,902.89,8,112.86,302.46,0.335,2025-01-04 09:00,In Transit,50,No,Poor
SHP002037,VEH008,590.32,8,73.79,197.76,0.335,2025-09-18 03:36,On Time,50,No,Poor
SHP002038,VEH003,1474.27,8,184.28,493.87,0.335,2025-08-01 00:48,On Time,50,No,Poor
SHP002039,VEH023,529.79,12,44.15,118.32,0.223,2025-03-19 03:00,On Time,70,Yes,Average
SHP002040,VEH008,801.83,8,100.23,268.62,0.335,2025-08-10 09:00,In Transit,50,No,Poor
SHP002041,VEH018,1173.75,12,97.81,262.13,0.223,2025-09-24 15:00,Long Distance,50,No,Poor
SHP002042,VEH014,1229.42,12,102.45,274.57,0.223,2025-03-18 15:00,Long Distance,50,No,Poor
SHP002043,VEH003,488.83,8,61.1,163.75,0.335,2025-02-14 00:48,On Time,70,Yes,Average
SHP002044,VEH023,1598.33,12,133.19,356.95,0.223,2025-08-12 07:30,In Transit,50,No,Poor
SHP002045,VEH029,998.1,12,83.18,222.92,0.223,2025-11-27 03:00,On Time,50,No,Poor
SHP002046,VEH014,408.18,12,34.02,91.17,0.223,2025-12-07 07:30,In Transit,85,Yes,Good
SHP002047,VEH029,844.51,12,70.38,188.62,0.223,2025-12-16 07:30,In Transit,50,No,Poor
SHP002048,VEH014,1145.84,12,95.49,255.91,0.223,2025-06-26 00:40,On Time,50,No,Poor
SHP002049,VEH008,1609.83,8,201.23,539.3,0.335,2025-03-19 09:00,In Transit,50,No,Poor
SHP002050,VEH014,1463.94,12,122.0,326.96,0.223,2025-10-08 07:30,In Transit,50,No,Poor
SHP002051,VEH029,974.76,12,81.23,217.7,0.223,2025-12-26 03:00,On Time,50,No,Poor
SHP002052,VEH003,1809.57,8,226.2,606.22,0.335,2025-04-12 00:48,On Time,50,No,Poor
SHP002053,VEH014,132.07,12,11.01,29.51,0.223,2025-06-21 15:00,Long Distance,100,Yes,Excellent
SHP002054,VEH003,2614.1,8,326.76,875.72,0.335,2025-03-06 03:36,On Time,50,No,Poor
SHP002055,VEH003,481.28,8,60.16,161.23,0.335,2025-02-17 18:00,Long Distance,70,Yes,Average
SHP002056,VEH018,1079.18,12,89.93,241.01,0.223,2025-06-25 00:40,On Time,50,No,Poor
SHP002057,VEH023,2573.26,12,214.44,574.7,0.223,2025-10-06 00:40,On Time,50,No,Poor
SHP002058,VEH018,567.26,12,47.27,126.68,0.223,2025-06-05 03:00,On Time,70,Yes,Average
SHP002059,VEH023,1327.81,12,110.65,296.54,0.223,2025-02-02 00:40,On Time,50,No,Poor
SHP002060,VEH008,595.76,8,74.47,199.58,0.335,2025-07-02 03:36,On Time,50,No,Poor
SHP002061,VEH034,2124.52,12,177.04,474.47,0.223,2025-08-18 00:40,On Time,50,No,Poor
SHP002062,VEH018,1615.39,12,134.62,360.78,0.223,2025-08-23 00:40,On Time,50,No,Poor
SHP002063,VEH034,1139.1,12,94.92,254.39,0.223,2025-10-19 07:30,In Transit,50,No,Poor
SHP002064,VEH003,1193.69,8,149.21,399.88,0.335,2025-11-02 03:36,On Time,50,No,Poor
SHP002065,VEH018,299.24,12,24.94,66.84,0.223,2025-12-09 15:00,Long Distance,85,Yes,Good
SHP002066,VEH003,326.82,8,40.85,109.48,0.335,2025-07-15 03:36,On Time,70,Yes,Average
SHP002067,VEH008,390.87,8,48.86,130.94,0.335,2025-06-17 09:00,In Transit,70,Yes,Average
SHP002068,VEH014,1858.59,12,154.88,415.08,0.223,2025-08-21 00:40,On Time,50,No,Poor
SHP002069,VEH003,1213.94,8,151.74,406.66,0.335,2025-08-01 03:36,On Time,50,No,Poor
SHP002070,VEH023,2049.18,12,170.76,457.64,0.223,2025-03-10 03:00,On Time,50,No,Poor
SHP002071,VEH014,869.98,12,72.5,194.3,0.223,2025-07-09 07:30,In Transit,50,No,Poor
SHP002072,VEH036,295.77,8,36.97,99.08,0.335,2025-10-14 03:36,On Time,85,Yes,Good
SHP002073,VEH018,1212.07,12,101.01,270.71,0.223,2025-10-29 00:40,On Time,50,No,Poor
SHP002074,VEH008,1192.76,8,149.1,399.59,0.335,2025-12-20 18:00,Long Distance,50,No,Poor
SHP002075,VEH008,745.63,8,93.2,249.78,0.335,2025-03-16 03:36,On Time,50,No,Poor
SHP002076,VEH003,1165.51,8,145.69,390.45,0.335,2025-03-11 06:00,Long Distance,50,No,Poor
SHP002077,VEH036,268.57,8,33.57,89.97,0.335,2025-12-23 03:36,On Time,85,Yes,Good
SHP002078,VEH034,1338.4,12,111.53,298.9,0.223,2025-03-22 03:00,On Time,50,No,Poor
SHP002079,VEH003,926.38,8,115.8,310.34,0.335,2025-07-30 03:36,On Time,50,No,Poor
SHP002080,VEH008,628.86,8,78.61,210.67,0.335,2025-05-31 09:00,In Transit,50,No,Poor
SHP002081,VEH014,167.08,12,13.92,37.31,0.223,2025-07-12 03:00,On Time,100,Yes,Excellent
SHP002082,VEH034,1732.98,12,144.42,387.05,0.223,2025-09-06 00:40,On Time,50,No,Poor
SHP002083,VEH008,370.33,8,46.29,124.06,0.335,2025-01-26 03:36,On Time,70,Yes,Average
SHP002084,VEH003,937.1,8,117.14,313.94,0.335,2025-09-08 09:00,In Transit,50,No,Poor
SHP002085,VEH029,1225.27,12,102.11,273.65,0.223,2025-02-05 00:40,On Time,50,No,Poor
SHP002086,VEH018,30.79,12,2.57,6.89,0.224,2025-06-08 15:00,Long Distance,100,Yes,Excellent
SHP002087,VEH034,1607.52,12,133.96,359.01,0.223,2025-09-02 03:00,On Time,50,No,Poor
SHP002088,VEH003,1948.63,8,243.58,652.79,0.335,2025-03-13 18:00,Long Distance,50,No,Poor
SHP002089,VEH018,851.72,12,70.98,190.23,0.223,2025-12-10 00:40,On Time,50,No,Poor
SHP002090,VEH023,487.51,12,40.63,108.89,0.223,2025-02-15 00:40,On Time,70,Yes,Average
SHP002091,VEH014,237.62,12,19.8,53.06,0.223,2025-07-19 15:00,Long Distance,100,Yes,Excellent
SHP002092,VEH003,2197.17,8,274.65,736.06,0.335,2025-01-25 09:00,In Transit,50,No,Poor
SHP002093,VEH003,940.51,8,117.56,315.06,0.335,2025-11-29 09:00,In Transit,50,No,Poor
SHP002094,VEH018,680.49,12,56.71,151.98,0.223,2025-10-22 00:40,On Time,70,Yes,Average
SHP002095,VEH029,993.58,12,82.8,221.9,0.223,2025-10-15 03:00,On Time,50,No,Poor
SHP002096,VEH008,745.53,8,93.19,249.75,0.335,2025-02-13 00:48,On Time,50,No,Poor
SHP002097,VEH029,415.73,12,34.64,92.84,0.223,2025-01-30 03:00,On Time,85,Yes,Good
SHP002098,VEH023,2382.91,12,198.58,532.19,0.223,2025-09-18 01:00,Long Distance,50,No,Poor
SHP002099,VEH036,1002.56,8,125.32,335.86,0.335,2025-04-03 03:36,On Time,50,No,Poor
SHP002100,VEH034,1639.46,12,136.62,366.14,0.223,2025-12-28 07:30,In Transit,50,No,Poor
SHP002101,VEH034,1617.25,12,134.77,361.18,0.223,2025-11-08 15:00,Long Distance,50,No,Poor
SHP002102,VEH029,523.76,12,43.65,116.98,0.223,2025-09-10 03:00,On Time,70,Yes,Average
SHP002103,VEH003,1595.05,8,199.38,534.34,0.335,2025-08-03 00:48,On Time,50,No,Poor
SHP002104,VEH023,188.23,12,15.69,42.05,0.223,2025-05-12 03:00,On Time,100,Yes,Excellent
SHP002105,VEH003,986.17,8,123.27,330.36,0.335,2025-03-28 00:48,On Time,50,No,Poor
SHP002106,VEH018,931.4,12,77.62,208.02,0.223,2025-02-15 15:00,Long Distance,50,No,Poor
SHP002107,VEH023,1747.32,12,145.61,390.23,0.223,2025-03-28 07:30,In Transit,50,No,Poor
SHP002108,VEH003,635.61,8,79.45,212.93,0.335,2025-01-14 09:00,In Transit,50,No,Poor
SHP002109,VEH023,1184.21,12,98.68,264.46,0.223,2025-02-22 00:40,On Time,50,No,Poor
SHP002110,VEH008,1091.81,8,136.48,365.77,0.335,2025-05-14 03:36,On Time,50,No,Poor
SHP002111,VEH014,1948.02,12,162.34,435.07,0.223,2025-05-04 00:40,On Time,50,No,Poor
SHP002112,VEH018,1597.8,12,133.15,356.84,0.223,2025-09-19 15:00,Long Distance,50,No,Poor
SHP002113,VEH034,1596.16,12,133.01,356.47,0.223,2025-02-03 07:30,In Transit,50,No,Poor
SHP002114,VEH036,1243.13,8,155.39,416.45,0.335,2025-02-03 18:00,Long Distance,50,No,Poor
SHP002115,VEH003,1260.95,8,157.62,422.42,0.335,2025-01-11 03:36,On Time,50,No,Poor
SHP002116,VEH023,1871.81,12,155.98,418.03,0.223,2025-05-08 03:00,On Time,50,No,Poor
SHP002117,VEH036,1406.59,8,175.82,471.2,0.335,2025-10-19 00:48,On Time,50,No,Poor
SHP002118,VEH029,1630.09,12,135.84,364.05,0.223,2025-09-16 15:00,Long Distance,50,No,Poor
SHP002119,VEH029,1020.51,12,85.04,227.91,0.223,2025-03-29 00:40,On Time,50,No,Poor
SHP002120,VEH029,948.32,12,79.03,211.8,0.223,2025-08-21 00:40,On Time,50,No,Poor
SHP002121,VEH008,1518.15,8,189.77,508.58,0.335,2025-05-30 00:48,On Time,50,No,Poor
SHP002122,VEH003,1516.68,8,189.58,508.07,0.335,2025-09-05 03:36,On Time,50,No,Poor
SHP002123,VEH008,560.11,8,70.01,187.63,0.335,2025-06-29 00:48,On Time,50,No,Poor
SHP002124,VEH018,906.72,12,75.56,202.5,0.223,2025-05-25 03:00,On Time,50,No,Poor
SHP002125,VEH008,355.32,8,44.42,119.05,0.335,2025-10-18 00:48,On Time,70,Yes,Average
SHP002126,VEH008,1355.86,8,169.48,454.21,0.335,2025-12-26 18:00,Long Distance,50,No,Poor
SHP002127,VEH008,895.49,8,111.94,300.0,0.335,2025-05-25 09:00,In Transit,50,No,Poor
SHP002128,VEH003,208.38,8,26.05,69.81,0.335,2025-06-15 06:00,Long Distance,85,Yes,Good
SHP002129,VEH008,1408.54,8,176.07,471.87,0.335,2025-12-31 03:36,On Time,50,No,Poor
